065503012ATA;UMIDIFICADOR AIR CLEAN 2.5L BIV V.A                                             
096652239;AR COND BR12000FM5 220V Unit Ext
056603758ATA;MINI SYSTEM PHS1900BT V.A
066201021;TORR TOSTA PANE VM 127V
053302015ATA;EF CITRUS TURBO 220V V.A                                                        
208235;SUPORTE DISPLAY TAB 10.1A           
033101106ATG;LQ ELETRONIC FILTER 800 4V PR 127V V                                            
056452045;REFRIGERADOR 4 PORTAS PRF500I 220V
033011029ATD;VENT B40 S T SILENCIUM 127V PR V.D
096652504;AR COND BAC60000PFM5 380V INT
053601029ATA;FERRO PASSAR PFE NANO CERAMIC TURBO 127V V.A
096051022ATI;MICROONDAS PME25 127V V.I
056452045;REFRIGERADOR 4 PORTAS PRF500I 220V
099393014ATA;TV PH39E31DSGW LED V.A                                                          
037502003ATA;CENTRIFUGA DE ROUPAS BCR01BV  220V V.A
036916;FORNINHO CKD 127V NACIONAL
052153010ATB;BARBEADOR PBA04D BIV V.B                                                        
065401023ATA;ESCOVA SECADORA SOFT BEC02 127V V.A                                             
056102044ATB;FORNO ELETRICO 48L B 220V V.B
062552009;PIPOQUEIRA EASYPOP BPI05LR 220V
033402077;BATEDEIRA PLANETARIA BBT500P 220V
103401097;BAT PLANETARIA PHP500 TURBO INOX PINK 127V
096652010ATB;AR COND PH24000FM 220V unid. Int. V.B
056603707;CAIXAS ACUSTICAS PHT900BD
103022002;VENTILADOR DE TETO PVT04B COM CONTROLE 220V
096052016ATA;MICROONDAS PME25BM 220V V.A                                                     
054603007ATA;DEPILADOR AQUA DELUXE PDP01R BIV V.A                                            
033102245ATE;LQ FAMA FLQ01B 220V V.E                                                         
056401009;PANELA ELETRICA ARROZ PH5 R 127V
056303013;APARADOR MULTI GROOM AQUA 12 EM 1 PAP03 BIV
099553028ATC;TV PTV55Q20SNBL 4K LED V.C
103011033;VENT PVT400 CONNECT
056102046ATYD16A;FORNO ELETRICO 46L 220V V.A (YD16A)
033102118;LQ DIAMANTE 800 PR 220V
056401053;PANELA DE ARROZ PH5 VISOR GLASS VM 127V
066101023ATA;FORNO ELETRICO 50L PR 127V V.A
099553041ATA;TV PTV55G71AGBLS 4K LED V.A
054901049ATD;ASP PO PH1100 RAPID TURBO PAS02V 127V V,D
063301004;MINI PROCESSADOR 2P 127V
058205039ATB;TABLET PH7O V.B
053102025ATA;LQ FIT RETRO VM 220V V.A                                                        
033102106ATI;LQ ELETRONIC FILTER 800 4V PR 220V V.I
054902021ATA;ASP PO PH10L 220V V.A                                                           
062252006ATB;PASSADEIRA A VAPOR 220V V.B                                                     
033402089ATA;BATEDEIRA PLANETARIA BBT500P INOX 22                                            
055402014ATYG57A;ESCOVA ROTATIVA SPIN BRUSH PEC01V 22                                            
103102021;LQ PH900 AM 220V
033101206;LQ DIAMANTE 800 BR 127V
053901042;CAF PH41 THERMO
056301009;CORTADOR DE CABELOS PROFESSIONAL PCR07V 127V
056451048;REFRIGERADOR SIDE BY SIDE PRF520DI 127V
063202009;MIXER BLACK PLUS 2 220V
053501045;SEC CABELOS GOLDEN STAR 127V
053502023;SEC CABELOS BEAUTY SHINE 220V
066702111ATA;CREPEIRA SIX 220V V.A                                                           
033012031ATD;VENT ST COLUNA 30 220V VERSAO D
052552005;PIPOQUEIRA POP GOURMET PPI05RED 220V
055402008;ESC ROT SPIN ION BRUSH 220V
099423021ATB;TV PTV42E60DSWNC V.B                                                            
053952015ATA;CHALEIRA DIGITAL GLASS 1.7L PCHD 220                                            
053802025ATA;FRIT AIR FRY PRO LIFE PR 220V V.A                 
066401054ATB;PANELA ARROZ PA10 PRIME 127V V.B
105903006ATD;COOK CHEF 5 PR BIV V.D
780544;TERMOST F KSD301A 12A250V 145C                    
099423021ATA;TV PTV42E60DSWNC V.A                                                            
056051025ATD;MICROONDAS PMS24 22L 127V VERSAO D
053952014ATA;CHALEIRA CLASSIC PHC20P 220V V.A                                                
055403035ATB;ESCOVA SECADORA SOFT BEAUTY CHERRY PEC13 BIV V.B
063501028ATB;SEC CABELOS SP3300V 127V V.B
033011120;VENT VENTUS 40 SIX 127V
103101040ATI;LQ PH800 VM 127V V.I                                                            
063302021ATA;MULTIPROCESSADOR ALL IN ONE BMP900P                                             
066003028ATA;PRANCHA CERAMIC ARGAN V.A
066701069ATA;GRILL SAUDE INOX 127V V.A
099493004ATB;TV PH49F30DSGWA V.B                                                             
103101001ATB;LQ PH 700 127V V.B
053902017;CAF DIGITAL PH14 INOX 220V
053901026;CAF EXPRESSO 15 BAR INOX 127V
099393027ATA;TV PTV39E60SN LED BIV V.A
064901010;ASP PO DUST OFF BRD700 127V
056603111ATB;AUDIO PB119B V.B                                                                
063902046;CAF CB30 INOX 220V
033012007ATB;VENT PAREDE MEGA TURBO 50 SIX CR 220V V.B
054802009;ADEGA PH12 - POLI 220V
037502002;CENTRIFUGA DE ROUPAS BRITANIA BR 220V
033011092ATC;VENT MEGA TURBO 50 127V V.C                                                     
096051018ATC;MICROONDAS PME22 127V V.C
053901035ATA;CAF PH 41 127V V.A                                                              
056303016ATA;APARADOR DE PELOS EASY BLADE PLUS PAP06VD BIV V.A
75552;CAIXA TV PH 55 X                                  
708716;PCI PRINC(GH-MS6M16JS-S1)PH32B V.B
065402017;ESCOVA ROTATIVA CERAMIC H 220V
058205013;TABLET PH7HI-R711A4.2
063902067;CAF CP30 TEMP 220V
033011126;VENTILADOR BVT400 TURBO 127V
708725;DISPLAY (LTI320AA02) V.B
065403008ATB;ESC MODELADORA BIV VERSAO B                                                     
096652355ATB;AR COND BR9000TFM5 220V Unid. Int. V.B
056301002;CORT CABELOS DUAL ACTION 2 127V
9063301000;MULTI PROCESSADOR 127V
065501003;UMIDIFICADOR BRUS3 127V
056251008ATA;CLIMATIZADOR PCL1QF 127V V.A                                                    
103101024;LQ INOX GLASS 127V
066401012;SUPER CHEF GLASS 2 127V
128003010ATA;NOTEBOOK PHN 10001 VERSAO A
056905160ATA;AUTO RADIO PCA 210 VERSAO A
064002020;MINI GRILL 5N 220V
103301039;MULTIPRO ALL IN ONE MAXIMUS VM 127V
099583002;TV PH58E51DSG LED
099553008;TV PH55E51DSGW LED
033101061ATB;LQ ELETRONIC FILTER PR 10 VEL 127V V.B
053501034ATXD63A;SEC CABELOS PH3400 127V V.A (XD63A)                                             
062551001ATB;PIPOQUEIRA POP TIME PIP B-02 127V V.B
033102026;LQ ELETRONIC FILTER 220V BR
063101000;LIQUIDIFICADOR KITCHEN ART 127V    
057003066;SV VCD PH148L                      
098003196;NOTEBOOK 14E-S423WB
103401061;BATEDEIRA PBT510V INOX
054801006ATB;CERVEJEIRA FROSTBIER CER P-01 127V V.B
051102001;FURADEIRA PFU01 220V
103102017ATT;LQ PH900 PR 220V V.T                                                            
066603022;PORTA RETRATOS DIGITAL             
066701020;LARGE GRILL 2 BRLG2 127V
066202023;TORRADEIRA BTR01P 220V
067000;AUDIO BS 180
066301015;CORT CABELOS FAMA 127V             
066505000ATWD43A;BALANCA SUPER SLIM N V.A (WD43A)                                                
063901086ATA;CAF BCF18l 127V V.A                                                             
064602000;DEPIL MAX 220V
036905;CAFETEIRA CB26 127V BR
064202002;CENTRIFUGA TURBO JUICER PRIME 220V 
034402000;CIRC C400P PR
033602003;FE FB905 220V
